Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,0,7,-11,111.88,1.9,86.67,-9,920
1,0,7,-11,106.84,1.6,86.46,-9,920
1,0,0,-11,101.9,1.5,86.51,-9,920
1,0,0,-12,97.12,1.5,84.93,-9,920
1,0,1,-12,92.54,1.8,78.57,-9,920
1,0,7,-12,88.19,2.2,76.13,-9,920
1,0,7,-12,84.13,2.5,76.17,-9,920
1,0,4,-13,80.41,2.9,71.72,-9,920
1,0,7,-13,77.09,2.6,71.74,-8,920
1,0,7,-13,74.23,2.4,71.22,-8,920
1,0,4,-13,71.89,2.2,65.86,-8,920
1,0,7,-13,70.13,2,66.54,-8,920
1,0,4,-13,68.98,1.9,61.58,-7,920
1,473,4,-12,68.5,1.8,62.78,-7,920
1,818,1,-12,68.68,1.8,58.14,-6,920
1,814,0,-12,69.53,1.9,58.33,-6,920
1,793,1,-12,71.02,1.9,58.32,-6,920
1,765,0,-12,73.11,2,62.39,-6,920
1,0,4,-12,75.74,1.9,62.39,-6,920
1,0,7,-13,78.86,1.8,64.73,-7,920
1,0,7,-13,82.4,1.7,69.98,-8,920
1,0,7,-15,86.31,1.6,66.66,-10,920
1,0,7,-15,90.53,1.9,66.66,-10,920
1,0,7,-16,95.02,2.3,66.51,-11,920
1,0,7,-16,99.72,2.5,66.5,-11,920
1,0,7,-16,104.58,2.7,65.98,-11,920
1,0,7,-16,109.58,2.8,65.97,-11,920
1,0,1,-15,114.67,2.9,67.92,-11,920
1,0,7,-15,119.81,2.9,67.92,-11,920
1,0,7,-15,124.95,3,71.44,-11,920
1,0,7,-15,130.06,3,71.44,-10,920
1,0,7,-14,135.07,3.1,74.82,-10,920
1,0,7,-14,139.88,3.2,69.11,-10,920
1,0,7,-14,144.4,3.4,71.31,-10,920
1,0,7,-14,148.45,3.5,71.3,-10,920
1,0,7,-13,151.81,3.7,73.09,-10,920
1,0,7,-13,154.17,3.7,73.09,-10,920
1,0,7,-13,155.23,3.8,74.15,-10,920
1,0,7,-13,154.82,3.6,74.15,-10,920
1,0,7,-13,153.02,3.5,74.29,-10,920
1,0,7,-13,150.07,3.3,74.31,-10,920
1,0,7,-13,146.3,3.2,78.98,-10,920
1,0,7,-13,141.97,3.1,79,-10,920
1,0,7,-14,137.27,3.1,76.42,-11,920
1,0,7,-14,132.33,3.1,76.45,-11,920
1,0,7,-14,127.26,3.1,79.84,-11,920
1,0,7,-14,122.12,3,79.87,-11,920
1,0,7,-15,116.97,3,76.57,-12,920
1,0,7,-15,111.84,2.8,76.61,-12,920
1,0,4,-15,106.8,2.7,78.71,-12,920
1,0,4,-15,101.86,2.6,78.75,-12,920
1,0,7,-16,97.07,2.5,73.77,-13,920
1,0,4,-16,92.48,2.5,73.82,-13,920
1,0,4,-17,88.12,2.5,71.78,-13,920
1,380,4,-17,84.05,2.6,66.25,-12,930
1,548,0,-16,80.33,2.7,66.46,-12,930
1,643,0,-16,77,2.6,61.37,-11,930
1,727,0,-16,74.12,2.5,61.95,-10,930
1,771,0,-16,71.77,2.5,57.23,-9,930
1,815,0,-16,70,2.6,54.74,-9,930
1,833,0,-16,68.84,2.7,54.75,-8,930
1,853,0,-15,68.35,2.8,56.98,-8,930
1,853,0,-15,68.52,2.9,52.72,-8,930
1,854,0,-15,69.36,3,54.74,-8,930
1,836,0,-15,70.85,2.9,54.76,-8,930
1,816,0,-15,72.93,2.8,56.64,-8,930
1,771,0,-15,75.56,2.4,61.25,-8,930
1,713,0,-15,78.68,2.1,63.16,-9,930
1,608,0,-15,82.22,1.7,68.39,-10,930
1,439,0,-16,86.13,1.4,67.04,-12,930
1,0,0,-16,90.35,1.2,67.06,-12,930
1,0,0,-17,94.84,1.2,70,-13,930
1,0,0,-17,99.54,1.1,70.02,-13,930
1,0,1,-17,104.41,1,74.66,-14,930
